iter	Passed	Remaining
171	506	2438
172	507	2427
173	509	2420
174	511	2410
175	512	2401
176	514	2392
177	518	2392
178	520	2385
179	521	2376
180	523	2367
181	524	2358
182	526	2351
183	528	2342
184	529	2333
185	532	2331
186	534	2322
187	535	2314
188	537	2305
189	538	2296
190	540	2287
191	541	2278
192	542	2269
193	548	2280
194	550	2273
195	552	2265
196	555	2265
197	557	2257
198	558	2249
199	560	2240
200	564	2242
201	565	2234
202	567	2226
203	568	2218
204	570	2210
205	572	2206
206	574	2199
207	575	2191
208	578	2188
209	579	2181
210	581	2175
211	583	2167
212	584	2159
213	585	2151
214	587	2144
215	589	2138
216	593	2141
217	594	2133
218	596	2126
219	599	2126
220	601	2119
221	602	2112
222	604	2104
223	607	2105
224	610	2101
225	611	2094
226	613	2088
227	614	2081
228	615	2073
229	617	2067
230	619	2061
231	621	2058
232	623	2052
233	625	2049
234	627	2044
235	629	2038
236	631	2031
237	632	2024
238	634	2020
239	638	2023
240	641	2018
241	644	2017
242	645	2011
243	647	2005
244	648	1999
245	650	1993
246	653	1993
247	655	1988
248	657	1982
249	658	1976
250	660	1970
251	662	1967
252	664	1961
253	665	1954
254	668	1951
255	669	1945
256	671	1940
257	672	1934
258	674	1929
259	675	1923
260	677	1917
261	678	1911
262	682	1913
263	684	1908
264	685	1902
265	687	1896
266	689	1893
267	691	1887
268	692	1882
269	695	1879
270	699	1881
271	701	1877
272	703	1873
273	705	1868
274	707	1864
275	709	1860
276	713	1863
277	715	1859
278	719	1858
279	721	1856
280	724	1853
281	727	1852
282	729	1847
283	731	1843
284	733	1840
285	735	1836
286	737	1833
287	739	1828
288	744	1830
289	746	1826
290	747	1822
291	749	1818
292	752	1815
293	754	1810
294	758	1811
295	761	1809
296	762	1805
297	764	1801
298	766	1797
299	768	1793
300	772	1794
301	774	1791
302	776	1786
303	778	1782
304	780	1779
305	783	1776
306	785	1772
307	789	1773
308	796	1780
309	799	1778
310	800	1774
311	816	1799
312	820	1800
313	822	1796
314	824	1792
315	827	1790
316	828	1785
317	830	1781
318	832	1777
319	834	1773
320	836	1769
321	838	1764
322	839	1760
323	842	1756
324	843	1752
325	845	1748
326	847	1745
327	857	1755
328	859	1752
329	862	1751
330	865	1748
331	867	1744
332	870	1743
333	872	1739
334	874	1735
335	879	1737
336	881	1733
337	883	1729
338	884	1725
339	886	1721
340	889	1719
341	891	1715
342	897	1719
343	899	1715
344	902	1712
345	904	1708
346	907	1706
347	915	1714
348	918	1712
349	920	1709
350	922	1705
351	925	1704
352	927	1700
353	929	1696
354	931	1692
355	935	1691
356	938	1689
357	941	1688
358	943	1684
359	945	1680
360	946	1675
361	948	1671
362	949	1666
363	951	1662
364	953	1658
365	956	1656
366	957	1652
367	959	1647
368	960	1642
369	962	1639
370	964	1634
371	965	1630
372	967	1625
373	968	1621
374	972	1620
375	973	1615
376	974	1610
377	976	1606
378	977	1601
379	979	1598
380	981	1593
381	982	1589
382	985	1587
383	987	1583
384	989	1580
385	990	1576
386	992	1571
387	993	1567
388	994	1562
389	996	1558
390	998	1554
391	1000	1551
392	1001	1547
393	1003	1543
394	1005	1539
395	1006	1535
396	1007	1531
397	1009	1526
398	1010	1522
399	1014	1521
400	1016	1517
401	1017	1513
402	1019	1510
403	1021	1506
404	1022	1502
405	1024	1498
406	1028	1498
407	1029	1493
408	1032	1492
409	1034	1488
410	1036	1485
411	1039	1483
412	1044	1484
413	1046	1481
414	1049	1479
415	1051	1476
416	1054	1473
417	1059	1474
418	1062	1473
419	1064	1470
420	1067	1468
421	1070	1466
422	1074	1465
423	1077	1463
424	1079	1460
425	1081	1457
426	1083	1454
427	1086	1452
428	1090	1451
429	1093	1448
430	1096	1447
431	1098	1444
432	1101	1442
433	1106	1442
434	1108	1439
435	1113	1439
436	1115	1437
437	1119	1436
438	1123	1436
439	1126	1433
440	1128	1430
441	1130	1427
442	1133	1424
443	1135	1421
444	1137	1418
445	1139	1415
446	1152	1425
